time_ms_1	analog_output	time_ms_2	analog_input
0	-0.308838	0	4.86725	
0.1	-0.308838	0.1	4.86725	
0.2	-0.312195	0.2	4.86725	
0.3	-0.312195	0.3	4.86725	
0.4	-0.311279	0.4	4.86725	
0.5	-0.311279	0.5	4.86725	
0.6	-0.309753	0.6	4.86755	
0.7	-0.309753	0.7	4.86755	
0.8	-0.305481	0.8	4.86755	
0.9	-0.305481	0.9	4.86755	
1	-0.302429	1	4.86755	
1.1	-0.302429	1.1	4.86755	
1.2	-0.302429	1.2	4.86755	
1.3	-0.302124	1.3	4.86755	
1.4	-0.302124	1.4	4.86755	
1.5	-0.294495	1.5	4.86786	
1.6	-0.282593	1.6	4.86816	
1.7	-0.282593	1.7	4.86816	
1.8	-0.282593	1.8	4.86816	
1.9	-0.274963	1.9	4.86816	
2	-0.274963	2	4.86816	
2.1	-0.266724	2.1	4.86816	
2.2	-0.266724	2.2	4.86816	
2.3	-0.259705	2.3	4.86816	
2.4	-0.259705	2.4	4.86816	
2.5	-0.249329	2.5	4.86816	
2.6	-0.249329	2.6	4.86816	
2.7	-0.239563	2.7	4.86847	
2.8	-0.239563	2.8	4.86847	
2.9	-0.229187	2.9	4.86847	
3	-0.229187	3	4.86847	
3.1	-0.222168	3.1	4.86847	
3.2	-0.222168	3.2	4.86847	
3.3	-0.211792	3.3	4.86847	
3.4	-0.211792	3.4	4.86847	
3.5	-0.210571	3.5	4.86816	
3.6	-0.210571	3.6	4.86816	
3.7	-0.205994	3.7	4.86816	
3.8	-0.205994	3.8	4.86816	
3.9	-0.199585	3.9	4.86816	
4	-0.199585	4	4.86816	
4.1	-0.199585	4.1	4.86816	
4.2	-0.195618	4.2	4.86816	
4.3	-0.195618	4.3	4.86816	
4.4	-0.195312	4.4	4.86786	
4.5	-0.195312	4.5	4.86786	
4.6	-0.196838	4.6	4.86786	
4.7	-0.196838	4.7	4.86786	
4.8	-0.196838	4.8	4.86786	
4.9	-0.196838	4.9	4.86786	
5	-0.2005	5	4.86755	
5.1	-0.2005	5.1	4.86755	
5.2	-0.201416	5.2	4.86755	
5.3	-0.201416	5.3	4.86755	
5.4	-0.203857	5.4	4.86755	
5.5	-0.203857	5.5	4.86755	
5.6	-0.208435	5.6	4.86755	
5.7	-0.208435	5.7	4.86755	
5.8	-0.21759	5.8	4.86725	
5.9	-0.21759	5.9	4.86725	
6	-0.227051	6	4.86694	
6.1	-0.227051	6.1	4.86694	
6.2	-0.230103	6.2	4.86725	
6.3	-0.230103	6.3	4.86725	
6.4	-0.243225	6.4	4.86694	
6.5	-0.243225	6.5	4.86694	
6.6	-0.258484	6.6	4.86664	
6.7	-0.258484	6.7	4.86664	
6.8	-0.258484	6.8	4.86664	
6.9	-0.264587	6.9	4.86664	
7	-0.264587	7	4.86664	
7.1	-0.26886	7.1	4.86694	
7.2	-0.26886	7.2	4.86694	
7.3	-0.270081	7.3	4.86694	
