time_ms_1	analog_output	time_ms_1	analog_input
0	-0.164795	0	4.86786	
0.2	-0.164795	0.2	4.86786	
0.4	-0.169373	0.4	4.86786	
0.6	-0.169983	0.6	4.86786	
0.8	-0.166626	0.8	4.86786	
1	-0.172119	1	4.86786	
1.2	-0.169678	1.2	4.86786	
1.4	-0.168152	1.4	4.86786	
1.6	-0.17395	1.6	4.86755	
1.8	-0.168152	1.8	4.86786	
2	-0.168762	2	4.86786	
2.2	-0.173645	2.2	4.86755	
2.4	-0.169067	2.4	4.86786	
2.6	-0.171204	2.6	4.86786	
2.8	-0.172424	2.8	4.86786	
3	-0.166321	3	4.86786	
3.2	-0.167847	3.2	4.86786	
3.4	-0.167236	3.4	4.86786	
3.6	-0.164185	3.6	4.86786	
3.8	-0.163574	3.8	4.86786	
4	-0.160217	4	4.86816	
4.2	-0.153809	4.2	4.86847	
4.4	-0.154724	4.4	4.86816	
4.6	-0.14801	4.6	4.86847	
4.8	-0.14801	4.8	4.86847	
5	-0.14801	5	4.86847	
5.2	-0.150452	5.2	4.86847	
5.4	-0.151062	5.4	4.86847	
5.6	-0.145264	5.6	4.86847	
5.8	-0.148315	5.8	4.86847	
6	-0.142517	6	4.86877	
6.2	-0.139465	6.2	4.86877	
6.4	-0.141907	6.4	4.86877	
6.6	-0.133667	6.6	4.86908	
6.8	-0.132141	6.8	4.86908	
7	-0.134277	7	4.86908	
7.2	-0.128479	7.2	4.86908	
7.4	-0.126343	7.4	4.86938	
7.6	-0.131836	7.6	4.86908	
7.8	-0.126343	7.8	4.86938	
8	-0.128174	8	4.86908	
8.2	-0.128174	8.2	4.86908	
8.4	-0.12085	8.4	4.86938	
8.6	-0.123901	8.6	4.86938	
8.8	-0.124207	8.8	4.86938	
9	-0.119019	9	4.86938	
9.2	-0.120544	9.2	4.86938	
9.4	-0.120544	9.4	4.86938	
9.6	-0.119934	9.6	4.86938	
9.8	-0.119324	9.8	4.86938	
10	-0.123291	10	4.86938	
10.2	-0.120544	10.2	4.86938	
10.4	-0.122375	10.4	4.86938	
10.6	-0.126038	10.6	4.86938	
10.8	-0.122681	10.8	4.86938	
11	-0.122986	11	4.86938	
11.2	-0.126343	11.2	4.86938	
11.4	-0.122681	11.4	4.86938	
11.6	-0.122986	11.6	4.86938	
11.8	-0.127869	11.8	4.86908	
12	-0.124207	12	4.86938	
12.2	-0.13092	12.2	4.86908	
12.4	-0.131836	12.4	4.86908	
12.6	-0.129395	12.6	4.86908	
12.8	-0.133667	12.8	4.86908	
13	-0.137939	13	4.86877	
13.2	-0.134583	13.2	4.86908	
13.4	-0.137024	13.4	4.86877	
13.6	-0.134277	13.6	4.86908	
13.8	-0.134277	13.8	4.86908	
14	-0.131531	14	4.86908	
14.2	-0.150146	14.2	4.86847	
14.4	-0.153809	14.4	4.86847	
14.6	-0.150452	14.6	4.86847	
14.8	-0.153809	14.8	4.86847	
15	-0.153809	15	4.86847	
15.2	-0.149841	15.2	4.86847	
15.4	-0.160828	15.4	4.86816	
15.6	-0.151672	15.6	4.86847	
15.8	-0.150757	15.8	4.86847	
16	-0.155334	16	4.86816	
16.2	-0.150146	16.2	4.86847	
16.4	-0.151672	16.4	4.86847	
16.6	-0.155334	16.6	4.86816	
16.8	-0.149231	16.8	4.86847	
17	-0.15686	17	4.86816	
17.2	-0.159912	17.2	4.86816	
17.4	-0.15564	17.4	4.86816	
17.6	-0.157471	17.6	4.86816	
17.8	-0.158997	17.8	4.86816	
18	-0.15625	18	4.86816	
18.2	-0.15625	18.2	4.86816	
18.4	-0.161743	18.4	4.86816	
18.6	-0.157471	18.6	4.86816	
18.8	-0.150757	18.8	4.86847	
19	-0.15625	19	4.86816	
19.2	-0.15564	19.2	4.86816	
19.4	-0.157166	19.4	4.86816	
19.6	-0.161743	19.6	4.86816	
19.8	-0.163574	19.8	4.86816	
20	-0.162048	20	4.86816	
20.2	-0.168457	20.2	4.86786	
20.4	-0.162659	20.4	4.86816	
20.6	-0.162048	20.6	4.86816	
20.8	-0.167236	20.8	4.86786	
21	-0.160217	21	4.86816	
21.2	-0.159912	21.2	4.86816	
21.4	-0.159607	21.4	4.86816	
21.6	-0.156555	21.6	4.86816	
21.8	-0.156555	21.8	4.86816	
22	-0.160522	22	4.86816	
22.2	-0.159302	22.2	4.86816	
22.4	-0.159302	22.4	4.86816	
22.6	-0.163879	22.6	4.86786	
22.8	-0.164795	22.8	4.86786	
23	-0.162659	23	4.86816	
23.2	-0.16571	23.2	4.86786	
23.4	-0.165405	23.4	4.86786	
23.6	-0.16449	23.6	4.86786	
23.8	-0.170898	23.8	4.86786	
24	-0.169983	24	4.86786	
24.2	-0.170898	24.2	4.86786	
24.4	-0.177612	24.4	4.86755	
24.6	-0.177917	24.6	4.86755	
24.8	-0.177307	24.8	4.86755	
25	-0.184631	25	4.86725	
25.2	-0.18219	25.2	4.86725	
25.4	-0.18158	25.4	4.86755	
25.6	-0.188293	25.6	4.86725	
25.8	-0.186462	25.8	4.86725	
26	-0.190125	26	4.86725	
26.2	-0.193787	26.2	4.86694	
26.4	-0.191345	26.4	4.86694	
26.6	-0.196533	26.6	4.86694	
26.8	-0.196533	26.8	4.86694	
27	-0.197754	27	4.86694	
27.2	-0.197449	27.2	4.86694	
27.4	-0.203247	27.4	4.86664	
27.6	-0.204773	27.6	4.86664	
27.8	-0.2005	27.8	4.86664	
28	-0.205688	28	4.86664	
28.2	-0.20752	28.2	4.86664	
28.4	-0.201416	28.4	4.86664	
28.6	-0.207825	28.6	4.86664	
28.8	-0.20813	28.8	4.86664	
29	-0.205078	29	4.86664	
29.2	-0.210876	29.2	4.86633	
29.4	-0.209351	29.4	4.86633	
29.6	-0.209656	29.6	4.86633	
29.8	-0.214233	29.8	4.86633	
30	-0.20874	30	4.86664	
30.2	-0.20874	30.2	4.86664	
30.4	-0.210876	30.4	4.86633	
30.6	-0.205994	30.6	4.86664	
30.8	-0.206909	30.8	4.86664	
31	-0.20813	31	4.86664	
31.2	-0.20813	31.2	4.86664	
31.4	-0.203247	31.4	4.86664	
31.6	-0.205994	31.6	4.86664	
31.8	-0.205994	31.8	4.86664	
