time_ms_1	analog_output	time_ms_2	analog_input
0	-0.108032	0	4.86755	
0.2	-0.10376	0.2	4.86755	
0.4	-0.108032	0.4	4.86755	
0.6	-0.109558	0.6	4.86755	
0.8	-0.107117	0.8	4.86755	
1	-0.11261	1	4.86755	
1.2	-0.117493	1.2	4.86725	
1.4	-0.114746	1.4	4.86755	
1.6	-0.119324	1.6	4.86725	
1.8	-0.122375	1.8	4.86725	
2	-0.118103	2	4.86755	
2.2	-0.122681	2.2	4.86725	
2.4	-0.121155	2.4	4.86755	
2.6	-0.121155	2.6	4.86755	
2.8	-0.117187	2.8	4.86755	
3	-0.12085	3	4.86755	
3.2	-0.112915	3.2	4.86755	
3.4	-0.108337	3.4	4.86786	
3.6	-0.107727	3.6	4.86786	
3.8	-0.0985718	3.8	4.86786	
4	-0.0930786	4	4.86786	
4.2	-0.0924683	4.2	4.86786	
4.4	-0.0823975	4.4	4.86816	
4.6	-0.0820923	4.6	4.86786	
4.8	-0.0814819	4.8	4.86786	
5	-0.0723267	5	4.86816	
5.2	-0.0698853	5.2	4.86786	
5.4	-0.0674438	5.4	4.86786	
5.6	-0.0552368	5.6	4.86816	
5.8	-0.0518799	5.8	4.86816	
6	-0.0457764	6	4.86816	
6.2	-0.0344849	6.2	4.86816	
6.4	-0.0354004	6.4	4.86816	
6.6	-0.0259399	6.6	4.86816	
6.8	-0.0195312	6.8	4.86816	
7	-0.0195312	7	4.86816	
7.2	-0.0219727	7.2	4.86786	
7.4	-0.0180054	7.4	4.86786	
7.6	-0.0109863	7.6	4.86816	
7.8	-0.015564	7.8	4.86786	
8	-0.00732422	8	4.86786	
8.2	-0.00579834	8.2	4.86786	
8.4	-0.00518799	8.4	4.86786	
8.6	0.00274658	8.6	4.86786	
8.8	0.000305176	8.8	4.86786	
9	-0.000305176	9	4.86786	
9.2	0.00488281	9.2	4.86786	
9.4	0.00213623	9.4	4.86755	
9.6	-0.00427246	9.6	4.86755	
9.8	0.00244141	9.8	4.86755	
10	-0.00396729	10	4.86755	
10.2	-0.00610352	10.2	4.86755	
10.4	-0.00183105	10.4	4.86755	
10.6	-0.00823975	10.6	4.86755	
10.8	-0.0088501	10.8	4.86755	
11	-0.00610352	11	4.86755	
11.2	-0.0164795	11.2	4.86725	
11.4	-0.0164795	11.4	4.86725	
11.6	-0.0192261	11.6	4.86725	
11.8	-0.0213623	11.8	4.86725	
12	-0.0314331	12	4.86725	
12.2	-0.0354004	12.2	4.86725	
12.4	-0.0369263	12.4	4.86725	
12.6	-0.0439453	12.6	4.86725	
12.8	-0.0448608	12.8	4.86725	
13	-0.0488281	13	4.86725	
13.2	-0.0552368	13.2	4.86725	
13.4	-0.0540161	13.4	4.86725	
13.6	-0.0561523	13.6	4.86725	
13.8	-0.0656128	13.8	4.86725	
14	-0.0808716	14	4.86694	
14.2	-0.090332	14.2	4.86664	
14.4	-0.100098	14.4	4.86664	
14.6	-0.0994873	14.6	4.86694	
14.8	-0.107117	14.8	4.86694	
15	-0.110779	15	4.86694	
15.2	-0.106201	15.2	4.86725	
15.4	-0.117187	15.4	4.86694	
15.6	-0.117187	15.6	4.86694	
15.8	-0.109863	15.8	4.86725	
16	-0.113525	16	4.86725	
16.2	-0.110474	16.2	4.86755	
16.4	-0.11261	16.4	4.86755	
16.6	-0.108643	16.6	4.86755	
16.8	-0.115967	16.8	4.86725	
17	-0.115662	17	4.86755	
17.2	-0.117493	17.2	4.86755	
17.4	-0.118713	17.4	4.86755	
17.6	-0.113525	17.6	4.86755	
17.8	-0.114441	17.8	4.86755	
18	-0.118408	18	4.86755	
18.2	-0.116272	18.2	4.86755	
18.4	-0.115356	18.4	4.86755	
18.6	-0.113525	18.6	4.86755	
18.8	-0.108032	18.8	4.86786	
19	-0.113831	19	4.86755	
19.2	-0.116882	19.2	4.86755	
19.4	-0.114441	19.4	4.86755	
19.6	-0.119934	19.6	4.86755	
19.8	-0.124817	19.8	4.86725	
20	-0.124817	20	4.86725	
20.2	-0.120239	20.2	4.86755	
20.4	-0.124512	20.4	4.86755	
20.6	-0.12146	20.6	4.86755	
20.8	-0.116882	20.8	4.86755	
21	-0.123291	21	4.86755	
21.2	-0.117493	21.2	4.86755	
21.4	-0.115051	21.4	4.86755	
21.6	-0.118103	21.6	4.86755	
21.8	-0.114441	21.8	4.86755	
22	-0.112305	22	4.86755	
22.2	-0.116882	22.2	4.86755	
22.4	-0.112	22.4	4.86755	
22.6	-0.114746	22.6	4.86755	
22.8	-0.122375	22.8	4.86725	
23	-0.115967	23	4.86755	
23.2	-0.121765	23.2	4.86755	
23.4	-0.129395	23.4	4.86725	
23.6	-0.131226	23.6	4.86725	
23.8	-0.137024	23.8	4.86725	
24	-0.144043	24	4.86725	
24.2	-0.143738	24.2	4.86725	
24.4	-0.143738	24.4	4.86725	
24.6	-0.153198	24.6	4.86694	
24.8	-0.157166	24.8	4.86725	
25	-0.157471	25	4.86725	
25.2	-0.163574	25.2	4.86725	
25.4	-0.166321	25.4	4.86725	
25.6	-0.169983	25.6	4.86725	
25.8	-0.178223	25.8	4.86694	
26	-0.181274	26	4.86725	
26.2	-0.1828	26.2	4.86725	
26.4	-0.195312	26.4	4.86694	
26.6	-0.198975	26.6	4.86694	
26.8	-0.205078	26.8	4.86694	
27	-0.213928	27	4.86694	
27.2	-0.212402	27.2	4.86725	
27.4	-0.218201	27.4	4.86694	
27.6	-0.221863	27.6	4.86725	
27.8	-0.218811	27.8	4.86725	
28	-0.221252	28	4.86725	
28.2	-0.22583	28.2	4.86725	
28.4	-0.223389	28.4	4.86725	
28.6	-0.223389	28.6	4.86725	
28.8	-0.228271	28.8	4.86725	
