time_ms_1	analog_output	time_ms_2	analog_input
0	-0.466614	0	4.86725	
0.2	-0.46814	0.2	4.86725	
0.4	-0.471497	0.4	4.86694	
0.6	-0.471497	0.6	4.86694	
0.8	-0.467834	0.8	4.86725	
1	-0.475769	1	4.86694	
1.2	-0.478821	1.2	4.86694	
1.4	-0.478516	1.4	4.86694	
1.6	-0.485535	1.6	4.86664	
1.8	-0.483704	1.8	4.86664	
2	-0.484924	2	4.86664	
2.2	-0.48584	2.2	4.86664	
2.4	-0.482483	2.4	4.86664	
2.6	-0.481262	2.6	4.86664	
2.8	-0.481262	2.8	4.86664	
3	-0.476074	3	4.86694	
3.2	-0.473328	3.2	4.86694	
3.4	-0.476379	3.4	4.86694	
3.6	-0.470886	3.6	4.86725	
3.8	-0.469666	3.8	4.86725	
4	-0.470581	4	4.86725	
4.2	-0.466309	4.2	4.86725	
4.4	-0.464783	4.4	4.86725	
4.6	-0.463562	4.6	4.86725	
4.8	-0.457458	4.8	4.86755	
5	-0.457458	5	4.86755	
5.2	-0.458069	5.2	4.86755	
5.4	-0.457458	5.4	4.86755	
5.6	-0.452271	5.6	4.86786	
5.8	-0.455933	5.8	4.86755	
6	-0.450439	6	4.86786	
6.2	-0.450134	6.2	4.86786	
6.4	-0.451965	6.4	4.86786	
6.6	-0.447693	6.6	4.86786	
6.8	-0.444641	6.8	4.86786	
7	-0.446777	7	4.86786	
7.2	-0.440063	7.2	4.86816	
7.4	-0.434875	7.4	4.86816	
7.6	-0.436707	7.6	4.86816	
7.8	-0.431213	7.8	4.86847	
8	-0.431824	8	4.86847	
8.2	-0.43457	8.2	4.86847	
8.4	-0.427856	8.4	4.86847	
8.6	-0.430603	8.6	4.86847	
8.8	-0.432434	8.8	4.86847	
9	-0.429993	9	4.86847	
9.2	-0.429993	9.2	4.86847	
9.4	-0.433655	9.4	4.86847	
9.6	-0.432739	9.6	4.86847	
9.8	-0.428162	9.8	4.86847	
10	-0.430298	10	4.86847	
10.2	-0.430603	10.2	4.86847	
10.4	-0.427856	10.4	4.86847	
10.6	-0.433044	10.6	4.86847	
10.8	-0.428467	10.8	4.86847	
11	-0.428162	11	4.86847	
11.2	-0.435486	11.2	4.86816	
11.4	-0.431213	11.4	4.86847	
11.6	-0.429077	11.6	4.86847	
11.8	-0.433655	11.8	4.86847	
12	-0.428467	12	4.86847	
12.2	-0.429077	12.2	4.86847	
12.4	-0.433044	12.4	4.86847	
12.6	-0.429687	12.6	4.86847	
12.8	-0.433044	12.8	4.86847	
13	-0.441895	13	4.86816	
13.2	-0.437927	13.2	4.86816	
13.4	-0.443726	13.4	4.86816	
13.6	-0.443726	13.6	4.86816	
13.8	-0.447693	13.8	4.86786	
14	-0.455933	14	4.86755	
14.2	-0.46051	14.2	4.86755	
14.4	-0.461121	14.4	4.86755	
14.6	-0.452576	14.6	4.86786	
14.8	-0.453186	14.8	4.86755	
15	-0.453491	15	4.86755	
15.2	-0.446777	15.2	4.86786	
15.4	-0.449219	15.4	4.86786	
15.6	-0.447693	15.6	4.86786	
15.8	-0.447693	15.8	4.86786	
16	-0.452881	16	4.86786	
16.2	-0.452881	16.2	4.86786	
16.4	-0.454407	16.4	4.86755	
16.6	-0.458984	16.6	4.86755	
16.8	-0.455627	16.8	4.86755	
17	-0.456543	17	4.86755	
17.2	-0.460205	17.2	4.86755	
17.4	-0.454102	17.4	4.86755	
17.6	-0.456848	17.6	4.86755	
17.8	-0.460205	17.8	4.86755	
18	-0.460205	18	4.86755	
18.2	-0.456848	18.2	4.86755	
18.4	-0.461731	18.4	4.86755	
18.6	-0.460815	18.6	4.86755	
18.8	-0.455933	18.8	4.86755	
19	-0.460815	19	4.86755	
19.2	-0.46051	19.2	4.86755	
19.4	-0.455933	19.4	4.86755	
19.6	-0.45929	19.6	4.86755	
19.8	-0.458984	19.8	4.86755	
20	-0.45929	20	4.86755	
20.2	-0.465698	20.2	4.86725	
20.4	-0.464783	20.4	4.86725	
20.6	-0.465088	20.6	4.86725	
20.8	-0.472107	20.8	4.86694	
21	-0.46936	21	4.86725	
21.2	-0.468445	21.2	4.86725	
21.4	-0.470276	21.4	4.86725	
21.6	-0.464172	21.6	4.86725	
21.8	-0.462036	21.8	4.86755	
22	-0.464783	22	4.86725	
22.2	-0.460205	22.2	4.86755	
22.4	-0.460205	22.4	4.86755	
22.6	-0.466003	22.6	4.86725	
22.8	-0.464783	22.8	4.86725	
