time_ms_1	analog_output	time_ms_2	analog_input
0	-0.462341	0	4.86755	
0.2	-0.4599	0.2	4.86755	
0.4	-0.4599	0.4	4.86755	
0.6	-0.463562	0.6	4.86725	
0.8	-0.469971	0.8	4.86725	
1	-0.467834	1	4.86725	
1.2	-0.47699	1.2	4.86694	
1.4	-0.481873	1.4	4.86664	
1.6	-0.481262	1.6	4.86664	
1.8	-0.487671	1.8	4.86664	
2	-0.487061	2	4.86664	
2.2	-0.484619	2.2	4.86664	
2.4	-0.488586	2.4	4.86664	
2.6	-0.484619	2.6	4.86664	
2.8	-0.483093	2.8	4.86664	
3	-0.484009	3	4.86664	
3.2	-0.479126	3.2	4.86694	
3.4	-0.479431	3.4	4.86694	
3.6	-0.485229	3.6	4.86664	
3.8	-0.480652	3.8	4.86694	
4	-0.485229	4	4.86664	
4.2	-0.488281	4.2	4.86664	
4.4	-0.485535	4.4	4.86664	
4.6	-0.488586	4.6	4.86664	
4.8	-0.488586	4.8	4.86664	
5	-0.486755	5	4.86664	
5.2	-0.483093	5.2	4.86664	
5.4	-0.482483	5.4	4.86664	
5.6	-0.478516	5.6	4.86694	
5.8	-0.473938	5.8	4.86694	
6	-0.47699	6	4.86694	
6.2	-0.475159	6.2	4.86694	
6.4	-0.471191	6.4	4.86725	
6.6	-0.4776	6.6	4.86694	
6.8	-0.476074	6.8	4.86694	
7	-0.474548	7	4.86694	
7.2	-0.47699	7.2	4.86694	
7.4	-0.470276	7.4	4.86725	
7.6	-0.467834	7.6	4.86725	
7.8	-0.46875	7.8	4.86725	
8	-0.465698	8	4.86725	
8.2	-0.467834	8.2	4.86725	
8.4	-0.469055	8.4	4.86725	
8.6	-0.463867	8.6	4.86725	
8.8	-0.466919	8.8	4.86725	
9	-0.466919	9	4.86725	
9.2	-0.466919	9.2	4.86725	
9.4	-0.463867	9.4	4.86725	
9.6	-0.467834	9.6	4.86725	
9.8	-0.467834	9.8	4.86725	
10	-0.464172	10	4.86725	
10.2	-0.468445	10.2	4.86725	
10.4	-0.467834	10.4	4.86725	
10.6	-0.466309	10.6	4.86725	
10.8	-0.467834	10.8	4.86725	
11	-0.465698	11	4.86725	
11.2	-0.463867	11.2	4.86725	
11.4	-0.466309	11.4	4.86725	
11.6	-0.464172	11.6	4.86725	
11.8	-0.463257	11.8	4.86725	
12	-0.466003	12	4.86725	
12.2	-0.463867	12.2	4.86725	
12.4	-0.467834	12.4	4.86725	
12.6	-0.470886	12.6	4.86725	
12.8	-0.466919	12.8	4.86725	
13	-0.46936	13	4.86725	
13.2	-0.473022	13.2	4.86694	
13.4	-0.473022	13.4	4.86694	
13.6	-0.46936	13.6	4.86725	
13.8	-0.476074	13.8	4.86694	
14	-0.486755	14	4.86664	
14.2	-0.480347	14.2	4.86694	
14.4	-0.482178	14.4	4.86664	
14.6	-0.478516	14.6	4.86694	
14.8	-0.472717	14.8	4.86694	
15	-0.480042	15	4.86694	
15.2	-0.477295	15.2	4.86694	
15.4	-0.480347	15.4	4.86694	
15.6	-0.482178	15.6	4.86664	
