time_ms_1	analog_output	time_ms_2	analog_input
0	-0.474243	0	4.86694	
0.2	-0.471191	0.2	4.86725	
0.4	-0.470581	0.4	4.86725	
0.6	-0.478516	0.6	4.86694	
0.8	-0.482178	0.8	4.86664	
1	-0.485229	1	4.86664	
1.2	-0.4953	1.2	4.86633	
1.4	-0.4953	1.4	4.86633	
1.6	-0.492859	1.6	4.86633	
1.8	-0.495605	1.8	4.86633	
2	-0.500183	2	4.86603	
2.2	-0.493469	2.2	4.86633	
2.4	-0.496216	2.4	4.86633	
2.6	-0.498047	2.6	4.86633	
2.8	-0.493164	2.8	4.86633	
3	-0.497131	3	4.86633	
3.2	-0.501404	3.2	4.86603	
3.4	-0.496826	3.4	4.86633	
3.6	-0.499878	3.6	4.86603	
3.8	-0.501404	3.8	4.86603	
4	-0.496826	4	4.86633	
4.2	-0.501404	4.2	4.86603	
4.4	-0.498657	4.4	4.86633	
4.6	-0.499878	4.6	4.86603	
4.8	-0.499878	4.8	4.86603	
5	-0.49469	5	4.86633	
5.2	-0.493469	5.2	4.86633	
5.4	-0.496826	5.4	4.86633	
5.6	-0.492859	5.6	4.86633	
5.8	-0.491638	5.8	4.86633	
6	-0.493164	6	4.86633	
6.2	-0.493164	6.2	4.86633	
6.4	-0.489807	6.4	4.86633	
6.6	-0.489502	6.6	4.86664	
6.8	-0.491943	6.8	4.86633	
7	-0.487061	7	4.86664	
7.2	-0.486145	7.2	4.86664	
7.4	-0.487061	7.4	4.86664	
7.6	-0.480652	7.6	4.86694	
7.8	-0.482178	7.8	4.86664	
8	-0.481567	8	4.86664	
8.2	-0.475159	8.2	4.86694	
8.4	-0.480652	8.4	4.86694	
8.6	-0.479736	8.6	4.86694	
8.8	-0.478516	8.8	4.86694	
9	-0.482483	9	4.86664	
9.2	-0.482178	9.2	4.86664	
9.4	-0.476685	9.4	4.86694	
9.6	-0.481873	9.6	4.86664	
9.8	-0.474854	9.8	4.86694	
10	-0.473022	10	4.86694	
10.2	-0.474854	10.2	4.86694	
10.4	-0.471802	10.4	4.86694	
10.6	-0.471802	10.6	4.86694	
10.8	-0.474854	10.8	4.86694	
11	-0.479126	11	4.86694	
11.2	-0.475769	11.2	4.86694	
11.4	-0.481567	11.4	4.86664	
11.6	-0.483398	11.6	4.86664	
11.8	-0.47821	11.8	4.86694	
12	-0.477295	12	4.86694	
12.2	-0.479431	12.2	4.86694	
12.4	-0.473938	12.4	4.86694	
12.6	-0.4776	12.6	4.86694	
12.8	-0.480957	12.8	4.86664	
13	-0.480347	13	4.86694	
13.2	-0.48584	13.2	4.86664	
13.4	-0.48584	13.4	4.86664	
13.6	-0.484924	13.6	4.86664	
13.8	-0.493469	13.8	4.86633	
14	-0.501404	14	4.86603	
14.2	-0.497437	14.2	4.86633	
14.4	-0.498962	14.4	4.86633	
14.6	-0.491638	14.6	4.86633	
14.8	-0.491943	14.8	4.86633	
15	-0.491943	15	4.86633	
15.2	-0.495605	15.2	4.86633	
15.4	-0.492249	15.4	4.86633	
15.6	-0.491943	15.6	4.86633	
15.8	-0.494995	15.8	4.86633	
16	-0.490417	16	4.86633	
16.2	-0.491333	16.2	4.86633	
16.4	-0.494995	16.4	4.86633	
16.6	-0.492859	16.6	4.86633	
16.8	-0.49408	16.8	4.86633	
17	-0.4953	17	4.86633	
17.2	-0.492249	17.2	4.86633	
17.4	-0.495605	17.4	4.86633	
17.6	-0.495911	17.6	4.86633	
17.8	-0.487366	17.8	4.86664	
18	-0.491333	18	4.86633	
18.2	-0.491638	18.2	4.86633	
18.4	-0.487366	18.4	4.86664	
18.6	-0.491943	18.6	4.86633	
18.8	-0.489502	18.8	4.86664	
19	-0.491943	19	4.86633	
19.2	-0.491943	19.2	4.86633	
19.4	-0.494995	19.4	4.86633	
19.6	-0.490417	19.6	4.86633	
19.8	-0.488892	19.8	4.86664	
20	-0.493164	20	4.86633	
20.2	-0.486145	20.2	4.86664	
20.4	-0.489502	20.4	4.86664	
20.6	-0.492859	20.6	4.86633	
20.8	-0.488586	20.8	4.86664	
21	-0.495911	21	4.86633	
21.2	-0.493774	21.2	4.86633	
21.4	-0.489197	21.4	4.86664	
21.6	-0.488586	21.6	4.86664	
21.8	-0.482483	21.8	4.86664	
22	-0.473328	22	4.86694	
22.2	-0.476685	22.2	4.86694	
22.4	-0.475769	22.4	4.86694	
22.6	-0.473328	22.6	4.86694	
22.8	-0.480347	22.8	4.86694	
23	-0.481262	23	4.86664	
23.2	-0.479431	23.2	4.86694	
23.4	-0.482483	23.4	4.86664	
23.6	-0.482483	23.6	4.86664	
23.8	-0.478821	23.8	4.86694	
24	-0.476685	24	4.86694	
24.2	-0.477905	24.2	4.86694	
24.4	-0.473938	24.4	4.86694	
24.6	-0.476685	24.6	4.86694	
24.8	-0.479431	24.8	4.86694	
25	-0.476685	25	4.86694	
25.2	-0.477295	25.2	4.86694	
25.4	-0.484924	25.4	4.86664	
25.6	-0.479736	25.6	4.86694	
25.8	-0.484009	25.8	4.86664	
26	-0.484924	26	4.86664	
26.2	-0.478516	26.2	4.86694	
26.4	-0.484619	26.4	4.86664	
26.6	-0.484619	26.6	4.86664	
26.8	-0.483093	26.8	4.86664	
27	-0.488892	27	4.86664	
27.2	-0.490417	27.2	4.86633	
27.4	-0.486755	27.4	4.86664	
27.6	-0.489807	27.6	4.86633	
27.8	-0.488586	27.8	4.86664	
28	-0.488586	28	4.86664	
28.2	-0.489197	28.2	4.86664	
28.4	-0.494385	28.4	4.86633	
28.6	-0.491943	28.6	4.86633	
28.8	-0.490417	28.8	4.86633	
29	-0.494995	29	4.86633	
29.2	-0.491028	29.2	4.86633	
29.4	-0.491333	29.4	4.86633	
29.6	-0.4953	29.6	4.86633	
29.8	-0.490723	29.8	4.86633	
30	-0.491638	30	4.86633	
30.2	-0.4953	30.2	4.86633	
30.4	-0.492249	30.4	4.86633	
30.6	-0.497742	30.6	4.86633	
30.8	-0.496521	30.8	4.86633	
31	-0.495605	31	4.86633	
31.2	-0.499573	31.2	4.86603	
31.4	-0.494995	31.4	4.86633	
31.6	-0.490112	31.6	4.86633	
31.8	-0.493469	31.8	4.86633	
32	-0.488281	32	4.86664	
32.2	-0.488281	32.2	4.86664	
32.4	-0.484314	32.4	4.86664	
32.6	-0.490112	32.6	4.86633	
32.8	-0.491028	32.8	4.86633	
33	-0.489807	33	4.86664	
33.2	-0.496216	33.2	4.86633	
33.4	-0.491638	33.4	4.86633	
33.6	-0.490112	33.6	4.86633	
33.8	-0.488281	33.8	4.86664	
34	-0.471191	34	4.86725	
34.2	-0.467834	34.2	4.86725	
34.4	-0.473938	34.4	4.86694	
34.6	-0.473022	34.6	4.86694	
34.8	-0.47699	34.8	4.86694	
35	-0.480347	35	4.86694	
