time_ms_1	analog_output	time_ms_2	analog_input		
0	-0.429077	0	4.86847		
0.2	-0.434875	0.2	4.86816		
0.4	-0.43335	0.4	4.86847		
0.6	-0.433655	0.6	4.86847		
0.8	-0.444336	0.8	4.86786		
1	-0.445557	1	4.86786		
1.2	-0.450745	1.2	4.86786		
1.4	-0.455017	1.4	4.86755		
1.6	-0.450439	1.6	4.86786		
1.8	-0.45105	1.8	4.86786		
2	-0.456848	2	4.86755		
2.2	-0.450439	2.2	4.86786		
2.4	-0.456543	2.4	4.86755		
2.6	-0.45929	2.6	4.86755		
2.8	-0.455627	2.8	4.86755		
3	-0.455627	3	4.86755		
3.2	-0.458374	3.2	4.86755		
3.4	-0.454102	3.4	4.86755		
3.6	-0.457458	3.6	4.86755		
3.8	-0.457458	3.8	4.86755		
4	-0.456543	4	4.86755		
4.2	-0.451355	4.2	4.86786		
4.4	-0.456543	4.4	4.86755		
4.6	-0.45105	4.6	4.86786		
4.8	-0.45105	4.8	4.86786		
5	-0.456848	5	4.86755		
5.2	-0.455017	5.2	4.86755		
5.4	-0.455933	5.4	4.86755		
5.6	-0.458374	5.6	4.86755		
5.8	-0.453796	5.8	4.86755		
6	-0.450439	6	4.86786		
6.2	-0.452881	6.2	4.86786		
6.4	-0.448914	6.4	4.86786		
6.6	-0.447998	6.6	4.86786		
6.8	-0.453796	6.8	4.86755		
7	-0.445862	7	4.86786		
7.2	-0.447388	7.2	4.86786		
7.4	-0.450134	7.4	4.86786		
7.6	-0.446167	7.6	4.86786		
7.8	-0.449524	7.8	4.86786		
8	-0.450439	8	4.86786		
8.2	-0.447693	8.2	4.86786		
8.4	-0.450745	8.4	4.86786		
8.6	-0.449219	8.6	4.86786		
8.8	-0.446167	8.8	4.86786		
9	-0.446167	9	4.86786		
9.2	-0.449219	9.2	4.86786		
9.4	-0.447388	9.4	4.86786		
9.6	-0.447693	9.6	4.86786		
9.8	-0.453186	9.8	4.86786		
10	-0.449219	10	4.86786		
10.2	-0.449524	10.2	4.86786		
10.4	-0.454712	10.4	4.86755		
10.6	-0.451965	10.6	4.86786		
