time_ms_1	analog_output	time_ms_2	analog_input
0	-0.494385	0	4.86633	
0.2	-0.49408	0.2	4.86633	
0.4	-0.499878	0.4	4.86603	
0.6	-0.499878	0.6	4.86603	
0.8	-0.508118	0.8	4.86603	
1	-0.508118	1	4.86603	
1.2	-0.51239	1.2	4.86572	
1.4	-0.508423	1.4	4.86572	
1.6	-0.512695	1.6	4.86572	
1.8	-0.514526	1.8	4.86572	
2	-0.513306	2	4.86572	
2.2	-0.519714	2.2	4.86542	
2.4	-0.521545	2.4	4.86542	
2.6	-0.519714	2.6	4.86542	
2.8	-0.522766	2.8	4.86542	
3	-0.522156	3	4.86542	
3.2	-0.518799	3.2	4.86542	
3.4	-0.521545	3.4	4.86542	
3.6	-0.519714	3.6	4.86542	
3.8	-0.518494	3.8	4.86542	
4	-0.520325	4	4.86542	
4.2	-0.522766	4.2	4.86542	
4.4	-0.522461	4.4	4.86542	
4.6	-0.526123	4.6	4.86542	
4.8	-0.526123	4.8	4.86542	
5	-0.525513	5	4.86542	
5.2	-0.529785	5.2	4.86511	
5.4	-0.517273	5.4	4.86572	
5.6	-0.517578	5.6	4.86542	
5.8	-0.517883	5.8	4.86542	
6	-0.517883	6	4.86542	
6.2	-0.51239	6.2	4.86572	
6.4	-0.515137	6.4	4.86572	
6.6	-0.518799	6.6	4.86542	
6.8	-0.515442	6.8	4.86572	
7	-0.517273	7	4.86572	
7.2	-0.515442	7.2	4.86572	
7.4	-0.510254	7.4	4.86572	
7.6	-0.51239	7.6	4.86572	
7.8	-0.507812	7.8	4.86603	
8	-0.504456	8	4.86603	
8.2	-0.507812	8.2	4.86603	
8.4	-0.504456	8.4	4.86603	
8.6	-0.50354	8.6	4.86603	
8.8	-0.507507	8.8	4.86603	
9	-0.503235	9	4.86603	
9.2	-0.498962	9.2	4.86633	
9.4	-0.503845	9.4	4.86603	
9.6	-0.498962	9.6	4.86633	
9.8	-0.497742	9.8	4.86633	
10	-0.504456	10	4.86603	
10.2	-0.504456	10.2	4.86603	
10.4	-0.498962	10.4	4.86633	
10.6	-0.499573	10.6	4.86603	
10.8	-0.499878	10.8	4.86603	
11	-0.493469	11	4.86633	
11.2	-0.494995	11.2	4.86633	
11.4	-0.49469	11.4	4.86633	
11.6	-0.488892	11.6	4.86664	
11.8	-0.496216	11.8	4.86633	
12	-0.496216	12	4.86633	
12.2	-0.495911	12.2	4.86633	
12.4	-0.500488	12.4	4.86603	
12.6	-0.498352	12.6	4.86633	
12.8	-0.4953	12.8	4.86633	
13	-0.498657	13	4.86633	
13.2	-0.492554	13.2	4.86633	
13.4	-0.492554	13.4	4.86633	
13.6	-0.497131	13.6	4.86633	
13.8	-0.504761	13.8	4.86603	
14	-0.514526	14	4.86572	
14.2	-0.518494	14.2	4.86542	
14.4	-0.51239	14.4	4.86572	
14.6	-0.51239	14.6	4.86572	
14.8	-0.511475	14.8	4.86572	
15	-0.510864	15	4.86572	
15.2	-0.504456	15.2	4.86603	
15.4	-0.50415	15.4	4.86603	
15.6	-0.505371	15.6	4.86603	
15.8	-0.505066	15.8	4.86603	
16	-0.508728	16	4.86572	
16.2	-0.508728	16.2	4.86572	
16.4	-0.510254	16.4	4.86572	
16.6	-0.517273	16.6	4.86572	
16.8	-0.514526	16.8	4.86572	
17	-0.51239	17	4.86572	
17.2	-0.512695	17.2	4.86572	
17.4	-0.515747	17.4	4.86572	
17.6	-0.508118	17.6	4.86572	
17.8	-0.518494	17.8	4.86542	
18	-0.512695	18	4.86572	
18.2	-0.516663	18.2	4.86572	
18.4	-0.519409	18.4	4.86542	
18.6	-0.513916	18.6	4.86572	
18.8	-0.516968	18.8	4.86572	
19	-0.516968	19	4.86572	
19.2	-0.519104	19.2	4.86542	
19.4	-0.515747	19.4	4.86572	
19.6	-0.516968	19.6	4.86572	
19.8	-0.52002	19.8	4.86542	
20	-0.518494	20	4.86542	
20.2	-0.521851	20.2	4.86542	
20.4	-0.521851	20.4	4.86542	
20.6	-0.518799	20.6	4.86542	
20.8	-0.521851	20.8	4.86542	
21	-0.52063	21	4.86542	
21.2	-0.513611	21.2	4.86572	
21.4	-0.515442	21.4	4.86572	
21.6	-0.51178	21.6	4.86572	
21.8	-0.509033	21.8	4.86572	
22	-0.51239	22	4.86572	
22.2	-0.509644	22.2	4.86572	
22.4	-0.505981	22.4	4.86603	
22.6	-0.509033	22.6	4.86572	
22.8	-0.502014	22.8	4.86603	
23	-0.502319	23	4.86603	
23.2	-0.502319	23.2	4.86603	
23.4	-0.505676	23.4	4.86603	
23.6	-0.50354	23.6	4.86603	
23.8	-0.508118	23.8	4.86572	
24	-0.510559	24	4.86572	
24.2	-0.507507	24.2	4.86603	
24.4	-0.506897	24.4	4.86603	
24.6	-0.506897	24.6	4.86603	
24.8	-0.500183	24.8	4.86603	
25	-0.501404	25	4.86603	
25.2	-0.501709	25.2	4.86603	
25.4	-0.500793	25.4	4.86603	
25.6	-0.507202	25.6	4.86603	
25.8	-0.509338	25.8	4.86572	
26	-0.510254	26	4.86572	
26.2	-0.513	26.2	4.86572	
26.4	-0.513916	26.4	4.86572	
26.6	-0.512085	26.6	4.86572	
26.8	-0.513	26.8	4.86572	
27	-0.508423	27	4.86572	
27.2	-0.509033	27.2	4.86572	
27.4	-0.512695	27.4	4.86572	
27.6	-0.512695	27.6	4.86572	
27.8	-0.513	27.8	4.86572	
28	-0.514526	28	4.86572	
28.2	-0.519104	28.2	4.86542	
28.4	-0.514526	28.4	4.86572	
28.6	-0.518188	28.6	4.86542	
28.8	-0.52063	28.8	4.86542	
29	-0.517273	29	4.86572	
29.2	-0.52002	29.2	4.86542	
29.4	-0.525208	29.4	4.86542	
29.6	-0.519104	29.6	4.86542	
29.8	-0.525208	29.8	4.86542	
30	-0.526428	30	4.86542	
30.2	-0.522766	30.2	4.86542	
30.4	-0.526733	30.4	4.86511	
30.6	-0.526123	30.6	4.86542	
30.8	-0.524597	30.8	4.86542	
31	-0.531006	31	4.86511	
31.2	-0.52887	31.2	4.86511	
31.4	-0.52887	31.4	4.86511	
31.6	-0.534058	31.6	4.86511	
31.8	-0.52887	31.8	4.86511	
32	-0.52887	32	4.86511	
32.2	-0.527649	32.2	4.86511	
32.4	-0.52887	32.4	4.86511	
32.6	-0.521545	32.6	4.86542	
32.8	-0.523682	32.8	4.86542	
33	-0.526428	33	4.86542	
33.2	-0.522461	33.2	4.86542	
33.4	-0.526123	33.4	4.86542	
33.6	-0.530701	33.6	4.86511	
33.8	-0.524292	33.8	4.86542	
34	-0.514526	34	4.86572	
34.2	-0.511475	34.2	4.86572	
34.4	-0.511475	34.4	4.86572	
34.6	-0.508118	34.6	4.86572	
34.8	-0.509949	34.8	4.86572	
35	-0.506287	35	4.86603	
35.2	-0.51239	35.2	4.86572	
35.4	-0.513	35.4	4.86572	
35.6	-0.51178	35.6	4.86572	
35.8	-0.513611	35.8	4.86572	
36	-0.511475	36	4.86572	
36.2	-0.507202	36.2	4.86603	
36.4	-0.507202	36.4	4.86603	
36.6	-0.505981	36.6	4.86603	
36.8	-0.501099	36.8	4.86603	
37	-0.500488	37	4.86603	
37.2	-0.505066	37.2	4.86603	
37.4	-0.500488	37.4	4.86603	
37.6	-0.503235	37.6	4.86603	
37.8	-0.506287	37.8	4.86603	
38	-0.501709	38	4.86603	
38.2	-0.500793	38.2	4.86603	
38.4	-0.502625	38.4	4.86603	
38.6	-0.498962	38.6	4.86633	
38.8	-0.500183	38.8	4.86603	
39	-0.500183	39	4.86603	
39.2	-0.493164	39.2	4.86633	
39.4	-0.499573	39.4	4.86603	
39.6	-0.498657	39.6	4.86633	
39.8	-0.493164	39.8	4.86633	
