time_ms_1	analog_output	time_ms_2	analog_input
0	-0.541687	0	4.86481	
0.2	-0.540161	0.2	4.86481	
0.4	-0.544434	0.4	4.86481	
0.6	-0.543823	0.6	4.86481	
0.8	-0.547791	0.8	4.8645	
1	-0.554199	1	4.8642	
1.2	-0.555725	1.2	4.8642	
1.4	-0.554504	1.4	4.8642	
1.6	-0.563354	1.6	4.86389	
1.8	-0.555115	1.8	4.8642	
2	-0.555115	2	4.8642	
2.2	-0.555725	2.2	4.8642	
2.4	-0.555725	2.4	4.8642	
2.6	-0.553589	2.6	4.8645	
2.8	-0.557556	2.8	4.8642	
3	-0.562134	3	4.8642	
3.2	-0.559387	3.2	4.8642	
3.4	-0.563049	3.4	4.86389	
3.6	-0.55603	3.6	4.8642	
3.8	-0.55481	3.8	4.8642	
4	-0.552979	4	4.8645	
4.2	-0.553589	4.2	4.8645	
4.4	-0.550842	4.4	4.8645	
4.6	-0.552673	4.6	4.8645	
4.8	-0.552673	4.8	4.8645	
5	-0.551147	5	4.8645	
5.2	-0.554504	5.2	4.8642	
5.4	-0.549316	5.4	4.8645	
5.6	-0.550232	5.6	4.8645	
5.8	-0.551147	5.8	4.8645	
6	-0.549316	6	4.8645	
6.2	-0.54657	6.2	4.8645	
6.4	-0.548096	6.4	4.8645	
6.6	-0.541077	6.6	4.86481	
6.8	-0.541077	6.8	4.86481	
7	-0.543823	7	4.86481	
7.2	-0.539856	7.2	4.86481	
7.4	-0.539856	7.4	4.86481	
7.6	-0.544434	7.6	4.86481	
7.8	-0.54657	7.8	4.8645	
8	-0.540771	8	4.86481	
8.2	-0.542908	8.2	4.86481	
8.4	-0.541687	8.4	4.86481	
8.6	-0.53772	8.6	4.86481	
8.8	-0.541992	8.8	4.86481	
9	-0.541992	9	4.86481	
9.2	-0.534363	9.2	4.86511	
9.4	-0.539551	9.4	4.86481	
9.6	-0.536804	9.6	4.86481	
9.8	-0.534363	9.8	4.86511	
10	-0.541992	10	4.86481	
10.2	-0.539246	10.2	4.86481	
10.4	-0.541992	10.4	4.86481	
10.6	-0.545044	10.6	4.8645	
10.8	-0.540161	10.8	4.86481	
11	-0.539246	11	4.86481	
11.2	-0.540161	11.2	4.86481	
11.4	-0.535278	11.4	4.86511	
11.6	-0.535278	11.6	4.86511	
11.8	-0.535278	11.8	4.86511	
12	-0.53772	12	4.86481	
12.2	-0.535583	12.2	4.86511	
12.4	-0.539856	12.4	4.86481	
12.6	-0.540466	12.6	4.86481	
12.8	-0.539856	12.8	4.86481	
13	-0.540466	13	4.86481	
13.2	-0.542603	13.2	4.86481	
13.4	-0.537415	13.4	4.86481	
13.6	-0.543518	13.6	4.86481	
13.8	-0.542908	13.8	4.86481	
14	-0.552063	14	4.8645	
14.2	-0.55481	14.2	4.8642	
14.4	-0.551147	14.4	4.8645	
14.6	-0.539246	14.6	4.86481	
14.8	-0.553894	14.8	4.8645	
15	-0.541992	15	4.86481	
15.2	-0.549622	15.2	4.8645	
15.4	-0.54657	15.4	4.8645	
15.6	-0.548706	15.6	4.8645	
15.8	-0.541382	15.8	4.86481	
16	-0.541382	16	4.86481	
16.2	-0.549316	16.2	4.8645	
16.4	-0.539856	16.4	4.86481	
16.6	-0.546265	16.6	4.8645	
16.8	-0.546875	16.8	4.8645	
17	-0.544128	17	4.86481	
17.2	-0.545654	17.2	4.8645	
17.4	-0.54718	17.4	4.8645	
17.6	-0.542297	17.6	4.86481	
17.8	-0.546875	17.8	4.8645	
18	-0.548096	18	4.8645	
18.2	-0.546265	18.2	4.8645	
18.4	-0.549622	18.4	4.8645	
18.6	-0.543823	18.6	4.86481	
18.8	-0.540161	18.8	4.86481	
19	-0.543518	19	4.86481	
19.2	-0.543518	19.2	4.86481	
19.4	-0.544128	19.4	4.86481	
19.6	-0.550842	19.6	4.8645	
19.8	-0.550842	19.8	4.8645	
20	-0.552673	20	4.8645	
20.2	-0.553589	20.2	4.8645	
20.4	-0.553589	20.4	4.8645	
20.6	-0.548401	20.6	4.8645	
20.8	-0.549316	20.8	4.8645	
21	-0.553894	21	4.8645	
21.2	-0.548401	21.2	4.8645	
