time_ms_1	analog_output	time_ms_2	analog_input
0	-0.544739	0	4.86755	
20	-0.537109	20	4.86755	
40	-0.545349	40	4.86755	
60	-0.53772	60	4.86755	
80	-0.544128	80	4.86755	
100	-0.538635	100	4.86755	
120	-0.544739	120	4.86755	
140	-0.539856	140	4.86755	
160	-0.546875	160	4.86755	
180	-0.537415	180	4.86755	
200	-0.545959	200	4.86755	
220	-0.53833	220	4.86755	
240	-0.548706	240	4.86725	
260	-0.53833	260	4.86755	
280	-0.545044	280	4.86755	
300	-0.539246	300	4.86755	
320	-0.548401	320	4.86725	
340	-0.539856	340	4.86755	
360	-0.547485	360	4.86755	
380	-0.536499	380	4.86786	
400	-0.549011	400	4.86725	
420	-0.541992	420	4.86755	
440	-0.550537	440	4.86725	
460	-0.540466	460	4.86755	
480	-0.544739	480	4.86755	
500	-0.544739	500	4.86755	
520	-0.547485	520	4.86755	
540	-0.544128	540	4.86755	
560	-0.54718	560	4.86755	
580	-0.53894	580	4.86786	
600	-0.552368	600	4.86725	
620	-0.539246	620	4.86786	
640	-0.553589	640	4.86725	
660	-0.541992	660	4.86755	
680	-0.550537	680	4.86755	
700	-0.545044	700	4.86755	
720	-0.549011	720	4.86755	
740	-0.545959	740	4.86755	
760	-0.552673	760	4.86755	
780	-0.540771	780	4.86786	
800	-0.552673	800	4.86725	
820	-0.542908	820	4.86755	
840	-0.551758	840	4.86755	
860	-0.54718	860	4.86755	
880	-0.550232	880	4.86755	
900	-0.54718	900	4.86755	
920	-0.552368	920	4.86755	
940	-0.548706	940	4.86755	
960	-0.551147	960	4.86755	
980	-0.545349	980	4.86755	
1000	-0.553894	1000	4.86755	
1020	-0.546875	1020	4.86755	
1040	-0.554199	1040	4.86755	
1060	-0.548706	1060	4.86755	
1080	-0.549011	1080	4.86755	
1100	-0.54657	1100	4.86755	
1120	-0.555115	1120	4.86725	
1140	-0.546875	1140	4.86755	
1160	-0.55481	1160	4.86755	
1180	-0.54718	1180	4.86755	
1200	-0.553894	1200	4.86755	
1220	-0.552368	1220	4.86755	
1240	-0.551453	1240	4.86755	
1260	-0.550537	1260	4.86755	
1280	-0.545654	1280	4.86755	
1300	-0.554199	1300	4.86755	
1320	-0.549011	1320	4.86755	
1340	-0.550842	1340	4.86755	
1360	-0.549622	1360	4.86755	
1380	-0.548096	1380	4.86755	
1400	-0.551147	1400	4.86755	
1420	-0.549011	1420	4.86755	
1440	-0.549622	1440	4.86755	
1460	-0.552673	1460	4.86755	
1480	-0.548401	1480	4.86755	
1500	-0.559387	1500	4.86725	
1520	-0.553894	1520	4.86755	
1540	-0.560913	1540	4.86725	
1560	-0.556335	1560	4.86755	
1580	-0.559692	1580	4.86755	
1600	-0.554199	1600	4.86755	
1620	-0.563049	1620	4.86725	
1640	-0.556641	1640	4.86755	
1660	-0.563354	1660	4.86755	
1680	-0.551453	1680	4.86786	
1700	-0.56488	1700	4.86725	
1720	-0.554504	1720	4.86755	
1740	-0.566101	1740	4.86725	
1760	-0.552979	1760	4.86786	
1780	-0.563354	1780	4.86755	
1800	-0.55481	1800	4.86755	
1820	-0.566406	1820	4.86725	
1840	-0.55481	1840	4.86755	
1860	-0.56488	1860	4.86755	
