time_ms_1	analog_output	time_ms_2	analog_input
0	-0.367432	0	4.86694	
0.2	-0.37384	0.2	4.86694	
0.4	-0.370178	0.4	4.86694	
0.6	-0.374451	0.6	4.86694	
0.8	-0.379944	0.8	4.86664	
1	-0.379944	1	4.86664	
1.2	-0.379944	1.2	4.86664	
1.4	-0.380554	1.4	4.86664	
1.6	-0.383606	1.6	4.86664	
1.8	-0.381165	1.8	4.86664	
2	-0.379333	2	4.86664	
2.2	-0.381165	2.2	4.86664	
2.4	-0.376892	2.4	4.86664	
2.6	-0.377808	2.6	4.86664	
2.8	-0.378723	2.8	4.86664	
3	-0.375061	3	4.86694	
3.2	-0.375671	3.2	4.86694	
3.4	-0.375366	3.4	4.86694	
3.6	-0.374146	3.6	4.86694	
3.8	-0.377197	3.8	4.86664	
4	-0.370789	4	4.86694	
4.2	-0.365906	4.2	4.86725	
4.4	-0.369568	4.4	4.86694	
4.6	-0.360718	4.6	4.86725	
4.8	-0.365295	4.8	4.86725	
5	-0.362854	5	4.86725	
5.2	-0.359497	5.2	4.86725	
5.4	-0.359497	5.4	4.86725	
5.6	-0.359497	5.6	4.86725	
5.8	-0.361023	5.8	4.86725	
6	-0.357361	6	4.86755	
6.2	-0.357971	6.2	4.86725	
6.4	-0.358582	6.4	4.86725	
6.6	-0.353394	6.6	4.86755	
6.8	-0.353699	6.8	4.86755	
7	-0.354309	7	4.86755	
7.2	-0.348511	7.2	4.86755	
7.4	-0.354004	7.4	4.86755	
7.6	-0.349731	7.6	4.86755	
7.8	-0.350647	7.8	4.86755	
8	-0.351562	8	4.86755	
8.2	-0.354309	8.2	4.86755	
8.4	-0.352478	8.4	4.86755	
8.6	-0.359192	8.6	4.86725	
8.8	-0.359192	8.8	4.86725	
9	-0.358582	9	4.86725	
9.2	-0.360413	9.2	4.86725	
9.4	-0.35675	9.4	4.86755	
9.6	-0.358276	9.6	4.86725	
9.8	-0.361328	9.8	4.86725	
10	-0.361328	10	4.86725	
10.2	-0.359497	10.2	4.86725	
10.4	-0.36377	10.4	4.86725	
10.6	-0.369873	10.6	4.86694	
