time_ms_1	analog_output	time_ms_2	analog_input
0	-0.377808	0	4.86664	
0.2	-0.375366	0.2	4.86694	
0.4	-0.376282	0.4	4.86664	
0.6	-0.383301	0.6	4.86664	
0.8	-0.379028	0.8	4.86664	
1	-0.38269	1	4.86664	
1.2	-0.38269	1.2	4.86664	
1.4	-0.385132	1.4	4.86633	
1.6	-0.384521	1.6	4.86664	
1.8	-0.387268	1.8	4.86633	
2	-0.39032	2	4.86633	
2.2	-0.386658	2.2	4.86633	
2.4	-0.392151	2.4	4.86633	
2.6	-0.39093	2.6	4.86633	
2.8	-0.386658	2.8	4.86633	
3	-0.389404	3	4.86633	
3.2	-0.389709	3.2	4.86633	
3.4	-0.38269	3.4	4.86664	
3.6	-0.387573	3.6	4.86633	
3.8	-0.38208	3.8	4.86664	
4	-0.385437	4	4.86633	
4.2	-0.388184	4.2	4.86633	
4.4	-0.385132	4.4	4.86633	
4.6	-0.386047	4.6	4.86633	
4.8	-0.388794	4.8	4.86633	
5	-0.385437	5	4.86633	
5.2	-0.383911	5.2	4.86664	
5.4	-0.384827	5.4	4.86633	
5.6	-0.384827	5.6	4.86633	
5.8	-0.380859	5.8	4.86664	
6	-0.379944	6	4.86664	
6.2	-0.38269	6.2	4.86664	
6.4	-0.378723	6.4	4.86664	
6.6	-0.38269	6.6	4.86664	
6.8	-0.384521	6.8	4.86664	
7	-0.380249	7	4.86664	
7.2	-0.382996	7.2	4.86664	
7.4	-0.384216	7.4	4.86664	
7.6	-0.379333	7.6	4.86664	
7.8	-0.380859	7.8	4.86664	
8	-0.379944	8	4.86664	
8.2	-0.375977	8.2	4.86664	
8.4	-0.378418	8.4	4.86664	
8.6	-0.378113	8.6	4.86664	
8.8	-0.375977	8.8	4.86664	
9	-0.383301	9	4.86664	
9.2	-0.379028	9.2	4.86664	
9.4	-0.380249	9.4	4.86664	
9.6	-0.384521	9.6	4.86664	
9.8	-0.384521	9.8	4.86664	
10	-0.380554	10	4.86664	
10.2	-0.380554	10.2	4.86664	
10.4	-0.383606	10.4	4.86664	
10.6	-0.379944	10.6	4.86664	
10.8	-0.380859	10.8	4.86664	
11	-0.383301	11	4.86664	
11.2	-0.379333	11.2	4.86664	
11.4	-0.381775	11.4	4.86664	
11.6	-0.385437	11.6	4.86633	
11.8	-0.38208	11.8	4.86664	
12	-0.387268	12	4.86633	
12.2	-0.386353	12.2	4.86633	
12.4	-0.386047	12.4	4.86633	
12.6	-0.386047	12.6	4.86633	
12.8	-0.38269	12.8	4.86664	
13	-0.382385	13	4.86664	
13.2	-0.384827	13.2	4.86633	
13.4	-0.383606	13.4	4.86664	
13.6	-0.387878	13.6	4.86633	
13.8	-0.39917	13.8	4.86603	
14	-0.394897	14	4.86603	
14.2	-0.394897	14.2	4.86603	
14.4	-0.393677	14.4	4.86633	
14.6	-0.397644	14.6	4.86603	
14.8	-0.390015	14.8	4.86633	
15	-0.391541	15	4.86633	
15.2	-0.394592	15.2	4.86603	
15.4	-0.387268	15.4	4.86633	
15.6	-0.387878	15.6	4.86633	
15.8	-0.387268	15.8	4.86633	
16	-0.386658	16	4.86633	
16.2	-0.387268	16.2	4.86633	
16.4	-0.389709	16.4	4.86633	
16.6	-0.387268	16.6	4.86633	
16.8	-0.389404	16.8	4.86633	
17	-0.387573	17	4.86633	
17.2	-0.385132	17.2	4.86633	
17.4	-0.389709	17.4	4.86633	
17.6	-0.385437	17.6	4.86633	
17.8	-0.382385	17.8	4.86664	
18	-0.390015	18	4.86633	
18.2	-0.386047	18.2	4.86633	
18.4	-0.384827	18.4	4.86633	
18.6	-0.384827	18.6	4.86633	
18.8	-0.389709	18.8	4.86633	
19	-0.387573	19	4.86633	
19.2	-0.387878	19.2	4.86633	
19.4	-0.391235	19.4	4.86633	
19.6	-0.389709	19.6	4.86633	
19.8	-0.390015	19.8	4.86633	
20	-0.392761	20	4.86633	
20.2	-0.388184	20.2	4.86633	
20.4	-0.389404	20.4	4.86633	
20.6	-0.391541	20.6	4.86633	
20.8	-0.385132	20.8	4.86633	
21	-0.386353	21	4.86633	
21.2	-0.386963	21.2	4.86633	
21.4	-0.382996	21.4	4.86664	
21.6	-0.386047	21.6	4.86633	
21.8	-0.38147	21.8	4.86664	
22	-0.377808	22	4.86664	
22.2	-0.38147	22.2	4.86664	
22.4	-0.380554	22.4	4.86664	
22.6	-0.378113	22.6	4.86664	
22.8	-0.378113	22.8	4.86633	
23	-0.384827	23	4.86633	
23.2	-0.376282	23.2	4.86664	
23.4	-0.385132	23.4	4.86633	
23.6	-0.385742	23.6	4.86633	
23.8	-0.38269	23.8	4.86664	
24	-0.384216	24	4.86664	
24.2	-0.386047	24.2	4.86633	
24.4	-0.383606	24.4	4.86664	
24.6	-0.384521	24.6	4.86664	
24.8	-0.386047	24.8	4.86633	
25	-0.381775	25	4.86664	
25.2	-0.384521	25.2	4.86664	
25.4	-0.387268	25.4	4.86633	
25.6	-0.384827	25.6	4.86633	
25.8	-0.386658	25.8	4.86633	
26	-0.392456	26	4.86633	
26.2	-0.389099	26.2	4.86633	
26.4	-0.394592	26.4	4.86603	
26.6	-0.393982	26.6	4.86633	
26.8	-0.389404	26.8	4.86633	
27	-0.389709	27	4.86633	
27.2	-0.389709	27.2	4.86633	
27.4	-0.391541	27.4	4.86633	
27.6	-0.389099	27.6	4.86633	
27.8	-0.393677	27.8	4.86633	
28	-0.39093	28	4.86633	
28.2	-0.388184	28.2	4.86633	
28.4	-0.394287	28.4	4.86603	
28.6	-0.392761	28.6	4.86633	
28.8	-0.393677	28.8	4.86633	
29	-0.394287	29	4.86603	
29.2	-0.39093	29.2	4.86633	
29.4	-0.389709	29.4	4.86633	
29.6	-0.39032	29.6	4.86633	
29.8	-0.384521	29.8	4.86664	
30	-0.386353	30	4.86633	
30.2	-0.388184	30.2	4.86633	
30.4	-0.382385	30.4	4.86664	
30.6	-0.385132	30.6	4.86633	
30.8	-0.387878	30.8	4.86633	
31	-0.383606	31	4.86664	
31.2	-0.385437	31.2	4.86633	
31.4	-0.384521	31.4	4.86664	
31.6	-0.384521	31.6	4.86664	
31.8	-0.380554	31.8	4.86664	
32	-0.381775	32	4.86664	
32.2	-0.378418	32.2	4.86664	
32.4	-0.376587	32.4	4.86664	
32.6	-0.378113	32.6	4.86664	
32.8	-0.376282	32.8	4.86664	
33	-0.378418	33	4.86664	
33.2	-0.38269	33.2	4.86664	
33.4	-0.377808	33.4	4.86664	
33.6	-0.377502	33.6	4.86664	
33.8	-0.368347	33.8	4.86694	
34	-0.365906	34	4.86725	
34.2	-0.364075	34.2	4.86725	
34.4	-0.367737	34.4	4.86694	
34.6	-0.364075	34.6	4.86725	
34.8	-0.368042	34.8	4.86694	
35	-0.368958	35	4.86694	
35.2	-0.367737	35.2	4.86694	
35.4	-0.371704	35.4	4.86694	
35.6	-0.372314	35.6	4.86694	
35.8	-0.371704	35.8	4.86694	
36	-0.371704	36	4.86694	
36.2	-0.376282	36.2	4.86664	
36.4	-0.374451	36.4	4.86694	
36.6	-0.37262	36.6	4.86694	
36.8	-0.374756	36.8	4.86694	
37	-0.371399	37	4.86694	
37.2	-0.371399	37.2	4.86694	
37.4	-0.375366	37.4	4.86694	
37.6	-0.375061	37.6	4.86694	
37.8	-0.376892	37.8	4.86664	
38	-0.38269	38	4.86664	
38.2	-0.371704	38.2	4.86694	
38.4	-0.380859	38.4	4.86664	
38.6	-0.381775	38.6	4.86664	
38.8	-0.375061	38.8	4.86694	
39	-0.376282	39	4.86664	
39.2	-0.378113	39.2	4.86664	
39.4	-0.371094	39.4	4.86694	
39.6	-0.373535	39.6	4.86694	
