frequency_Hz,discriminated_data
73398200,0
73399016.3265306,0
73399832.6530612,0
73400648.9795918,0
73401465.3061225,0
73402281.6326531,0
73403097.9591837,0
73403914.2857143,0
73404730.6122449,0
73405546.9387755,0
73406363.2653061,0
73407179.5918367,0
73407995.9183673,0
73408812.244898,0
73409628.5714286,0
73410444.8979592,0
73411261.2244898,0
73412077.5510204,0
73412893.877551,0
73413710.2040816,0
73414526.5306122,0
73415342.8571429,0
73416159.1836735,0
73416975.5102041,0
73417791.8367347,1
73418608.1632653,1
73419424.4897959,1
73420240.8163265,1
73421057.1428571,0
73421873.4693878,1
73422689.7959184,1
73423506.122449,0
73424322.4489796,0
73425138.7755102,0
73425955.1020408,0
73426771.4285714,0
73427587.755102,0
73428404.0816327,0
73429220.4081633,0
73430036.7346939,0
73430853.0612245,0
73431669.3877551,0
73432485.7142857,0
73433302.0408163,0
73434118.3673469,0
73434934.6938775,0
73435751.0204082,0
73436567.3469388,0
73437383.6734694,0
73438200,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,1
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,1
NaN,1
NaN,1
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,0
NaN,1
NaN,0
NaN,1
NaN,1
NaN,1
NaN,1
NaN,1
