file,measurement_2xf0,unit,ms,f0_defined,f_minus_f0,measurement
134277,146.8328,MHz,3,146.8328,0,73.4164
134278,146.8342,MHz,5,146.8328,0.00140000000001805,73.4171
134279,146.8378,MHz,7,146.8328,0.00499999999999545,73.4189
134280,146.842,MHz,9,146.8328,0.00920000000002119,73.421
134281,146.8414,MHz,11,146.8328,0.00860000000000127,73.4207
134282,146.8392,MHz,13,146.8328,0.00640000000001351,73.4196
134283,146.8388,MHz,15,146.8328,0.00600000000000023,73.4194
134284,146.8346,MHz,17,146.8328,0.00180000000000291,73.4173
134285,146.8306,MHz,19,146.8328,-0.00219999999998777,73.4153
134286,146.8306,MHz,21,146.8328,-0.00219999999998777,73.4153
134287,146.8322,MHz,23,146.8328,-0.000599999999991496,73.4161
134297,146.8322,MHz,4,146.8322,0,73.4161
134296,146.8346,MHz,6,146.8322,0.00239999999999441,73.4173
134295,146.8394,MHz,8,146.8322,0.00720000000001164,73.4197
134288,146.8416,MHz,10,146.8322,0.00939999999999941,73.4208
134290,146.8396,MHz,12,146.8322,0.00739999999998986,73.4198
134289,146.8378,MHz,14,146.8322,0.00559999999998695,73.4189
134291,146.8368,MHz,16,146.8322,0.0046000000000106,73.4184
134292,146.8316,MHz,18,146.8322,-0.000599999999991496,73.4158
134293,146.8302,MHz,20,146.8322,-0.00200000000000955,73.4151
134294,146.8314,MHz,22,146.8322,-0.000799999999998136,73.4157
