ms,line_pos,file,comment,measurement_2xf0,f0,f_minus_f0
3,73.4167,136613,-,146.8334,146.8334,0
7,73.4173,136614,-,146.8346,146.8334,0.00119999999998299
9,73.4179,136615,-,146.8358,146.8334,0.00239999999999441
11,73.4166,136616,-,146.8332,146.8334,-0.000200000000006639
13,73.4168,136617,-,146.8336,146.8334,0.000199999999978218
15,73.4172,136618,-,146.8344,146.8334,0.000999999999976353
17,73.4169,136619,-,146.8338,146.8334,0.000399999999984857
19,73.417,136620,-,146.834,146.8334,0.000599999999991496
21,73.4175,136621,-,146.835,146.8334,0.00159999999999627
23,73.4174,136622,-,146.8348,146.8334,0.00139999999998963
5,73.4175,136623,-,146.835,146.8334,0.00159999999999627
24,73.4175,136624,-,146.835,146.8334,0.00159999999999627
22,73.4176,136625,-,146.8352,146.8334,0.00179999999997449
20,73.4177,136626,-,146.8354,146.8334,0.00199999999998113
18,73.4174,136627,-,146.8348,146.8334,0.00139999999998963
16,73.4181,136628,-,146.8362,146.8334,0.00279999999997926
14,73.418,136629,-,146.836,146.8334,0.00260000000000105
12,73.4178,136630,-,146.8356,146.8334,0.00219999999998777
10,73.4186,136631,-,146.8372,146.8334,0.00379999999998404
8,73.4191,136632,-,146.8382,146.8334,0.00479999999998881
6,73.4181,136633,-,146.8362,146.8334,0.00279999999997926
4,73.4179,136634,-,146.8358,146.8334,0.00239999999999441
3,73.418,136635,measured twice for reference,146.836,146.8334,0.00260000000000105
